,DATE,PRCP,TMAX,TMIN,RAIN,Year,Month
25175,2016-12-04,0.17,45,35,True,16,12
25176,2016-12-05,0.24,39,33,True,16,12
25177,2016-12-06,0.0,40,31,False,16,12
25178,2016-12-07,0.0,38,28,False,16,12
25179,2016-12-08,0.06,38,30,True,16,12
25180,2016-12-09,0.34,36,31,True,16,12
25181,2016-12-10,0.18,44,35,True,16,12
25182,2016-12-11,0.09,42,39,True,16,12
25183,2016-12-12,0.09,42,37,True,16,12
25184,2016-12-13,0.0,38,31,False,16,12
25185,2016-12-14,0.0,39,30,False,16,12
25186,2016-12-15,0.0,38,32,False,16,12
25187,2016-12-16,0.0,34,25,False,16,12
25188,2016-12-17,0.0,33,23,False,16,12
25189,2016-12-18,0.0,39,27,False,16,12
25190,2016-12-19,0.81,45,35,True,16,12
25191,2016-12-20,0.01,50,40,True,16,12
25192,2016-12-21,0.0,47,34,False,16,12
25193,2016-12-22,0.3,44,33,True,16,12
25194,2016-12-23,0.58,39,35,True,16,12
25195,2016-12-24,0.1,40,35,True,16,12
25196,2016-12-25,0.0,42,33,False,16,12
25197,2016-12-26,0.29,42,33,True,16,12
25198,2016-12-27,0.05,44,40,True,16,12
25199,2016-12-28,0.0,47,38,False,16,12
25200,2016-12-29,0.05,48,40,True,16,12
25201,2016-12-30,0.02,45,34,True,16,12
25202,2016-12-31,0.03,38,29,True,16,12
25203,2017-01-01,0.43,37,28,True,17,01
25204,2017-01-02,0.0,34,26,False,17,01
25205,2017-01-03,0.0,33,21,False,17,01
25206,2017-01-04,0.0,36,22,False,17,01
25207,2017-01-05,0.0,35,21,False,17,01
25208,2017-01-06,0.0,40,20,False,17,01
25209,2017-01-07,0.0,37,29,False,17,01
25210,2017-01-08,0.45,45,35,True,17,01
25211,2017-01-09,0.05,42,34,True,17,01
25212,2017-01-10,0.07,40,32,True,17,01
25213,2017-01-11,0.0,34,28,False,17,01
25214,2017-01-12,0.0,40,25,False,17,01
25215,2017-01-13,0.0,37,25,False,17,01
25216,2017-01-14,0.0,44,26,False,17,01
25217,2017-01-15,0.0,43,27,False,17,01
25218,2017-01-16,0.0,45,30,False,17,01
25219,2017-01-17,1.74,49,39,True,17,01
25220,2017-01-18,1.21,53,44,True,17,01
25221,2017-01-19,0.09,50,41,True,17,01
25222,2017-01-20,0.0,52,37,False,17,01
25223,2017-01-21,0.05,54,40,True,17,01
25224,2017-01-22,0.08,49,37,True,17,01
25225,2017-01-23,0.0,48,34,False,17,01
25226,2017-01-24,0.0,43,31,False,17,01
25227,2017-01-25,0.0,44,35,False,17,01
25228,2017-01-26,0.0,47,41,False,17,01
25229,2017-01-27,0.0,54,37,False,17,01
25230,2017-01-28,0.0,52,37,False,17,01
25231,2017-01-29,0.03,48,37,True,17,01
25232,2017-01-30,0.02,45,40,True,17,01
25233,2017-01-31,0.0,44,34,False,17,01
25234,2017-02-01,0.0,43,29,False,17,02
25235,2017-02-02,0.01,44,32,True,17,02
25236,2017-02-03,0.7,40,34,True,17,02
25237,2017-02-04,0.94,46,37,True,17,02
25238,2017-02-05,0.82,41,33,True,17,02
25239,2017-02-06,0.65,37,30,True,17,02
25240,2017-02-07,0.01,38,30,True,17,02
25241,2017-02-08,0.7,40,34,True,17,02
25242,2017-02-09,1.63,56,39,True,17,02
25243,2017-02-10,0.02,48,39,True,17,02
25244,2017-02-11,0.0,49,38,False,17,02
25245,2017-02-12,0.0,51,34,False,17,02
25246,2017-02-13,0.0,57,35,False,17,02
25247,2017-02-14,0.23,58,36,True,17,02
25248,2017-02-15,1.63,54,45,True,17,02
25249,2017-02-16,0.5,53,46,True,17,02
25250,2017-02-17,0.01,56,42,True,17,02
25251,2017-02-18,0.15,45,42,True,17,02
25252,2017-02-19,0.06,47,40,True,17,02
25253,2017-02-20,0.2,45,40,True,17,02
25254,2017-02-21,0.07,48,39,True,17,02
25255,2017-02-22,0.0,46,35,False,17,02
